question,type,value,notes
1,type,float,
2,bool,True,
3,bool,True,
4,int,7,
5,int,10,
6,str,'positive',
7,int,14,
8,int,6,
9,list,"[[1, 6, {'x': 8, 'y': 5}],
 [3, 4, {'x': 9, 'y': 2}],
 [5, 2, {'x': 3, 'y': 1, 'z': 3.14}]]",
10,int,8,
11,list,"[[1, 6, {'x': 8, 'y': 5}],
 [3, 9999, {'x': 9, 'y': 2}],
 [5, 2, {'x': 3, 'y': 1, 'z': 3.14}]]",
12,int,10007,
13,list,"[[5, 2, {'x': 3, 'y': 1, 'z': 3.14}],
 [1, 6, {'x': 8, 'y': 5}],
 [3, 9999, {'x': 9, 'y': 2}]]",
14,float,367.71505033120803,tolerance=0.2
15,float,1.5,
16,float,"float(""nan"")",
17,list,"[2013, 2014, 2015, 2016, 2017, 2018]",
18,int,2371960,
19,int,10285814,
20,float,0.12375641594322287,
21,dict,"{'Illinois': 8.524143737625552,
 'Indiana': 9.463486214247707,
 'Iowa': 9.468929459023103,
 'Michigan': 8.936374942955922,
 'Minnesota': 7.491847623005652,
 'Wisconsin': 9.582497175331794}",tolerance=0.01
22,Figure,plt.Figure(),
23,Figure,plt.Figure(),
24,Figure,plt.Figure(),
25,str,'commit 660994efc761efdfd49ca442b73f6712dc77b6cf',
26,list,"['03148dba6b26a2694da1d466584f50189c52e7b3',
 'ef524f2cfd65377b3b9ce896e7a710472b13c0f6',
 'f2dc38cda61f76c64b97ab9f730accc986a4b188',
 '03168a5d53457fdb8676a4ac9fca0f76a23c6852',
 '0b8e01b4450d0ba8cb65751d866568fddc155fa4',
 '6a3a046f55755f0691568431e68a8bfea8d89df0',
 'd78b04a3fca8d8887382606897d4a97e55062fda',
 '4671429a509094f36e2294055340197091d39979',
 '4e7aa9e7f7a86ee0ea4b6801694c13151518cb52',
 '85ca089dde8814c4a42ad4574cddce25d60e5e25',
 '8171da88a49eba769d313a51591ee8575be59762',
 'df929c6c77ea5490a969275e45075c29711a498c',
 '574e81f9c8bbdc41958e1e7a7613633b091101f8',
 '1fff3e598126a084348ec2c112fdd3bc6b9a1ee0',
 '05f36c7f7e2df36ee28f90d99632162579b1287c',
 '4e1b3e1134eb478563bc434d794085d0a412cb84',
 '8e9bd5f009bb8756a2a7d76a4b792323eeee49d6',
 '9dfab582d065521e9350327801ed2c5ced1c8fa1',
 '3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6',
 '7d6b8e9ab3e738d69e39ad53a7c0f6a552d5284a',
 'a9d4ea81da28ee9c894bf9d45adc4cfa9d52fddc',
 '727c701686c18c4a27ca523eb0c5862d497be24e',
 '4edec48b74dbb9d571e927b69b24c30ec0624975',
 '625eba4bb403296a8bbc1e72cc9cf4a5126f6c02',
 '4aa76212d1be9b17a57249549c2a73fb10b6cda8',
 '3b36bef2e6165bb4dad73d17f23ee1879e99f497',
 '44b42e0fbd93d86e0f4e929bda8e5fb63e81035d',
 '4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4',
 'b15ad394279fc3b7f998fa56857f334a7c0156f6',
 '33850c0ebd23ae615e6823993d441f46d80b1ff0']",
27,str,"""\n                        // Flask //\n\n     because a pocket knife is not the only thing that\n                    might come in handy\n\n\n    ~ What is Flask?\n\n      Flask is a microframework for Python based on Werkzeug\n      and Jinja2.  It's intended for small scale applications\n      and was development with best intentions in mind.\n\n   ~ Is it ready?\n\n      Nope, this is still work in progress, but I am happy to\n      accept patches and improvements already.\n""",
28,dict,"{'pallets': 204,
 'pgjones': 14,
 'greyli': 42,
 'ThiefMaster': 11,
 'jeffwidman': 8,
 'garenchan': 8,
 'davidism': 45,
 'dawran6': 7,
 'untitaker': 20,
 'lord63-forks': 5,
 'methane': 5,
 'Winnetou': 6,
 'defuz': 6,
 'ThomasWaldmann': 13,
 'SimonSapin': 11}",
29,str,"'ERROR: unknown command ""instal"" - maybe you meant ""install""\n'",
30,Figure,plt.Figure(),
31,Figure,plt.Figure(),
32,Figure,plt.Figure(),
